#Common	Kanji	Simpl.	Kun'yomi	On'yomi	Pinyin
砂	砂	砂	すな	サ、シャ	shā
唆	唆	唆	そそのか-す	サ	suō
差	差	差	さ-す	サ	chà
詐	詐	诈		サ	zhà
鎖	鎖	锁	くさり	サ	suǒ
座	座	座	すわ-る	ザ	zuò
挫	挫	挫		ザ	cuò
才	才	才		サイ	cái
再	再	再	ふたた-び	サイ、（サ）	zài
災	災	灾	わざわ-い	サイ	zāi
妻	妻	妻	つま	サイ	qī
碎	砕	碎	くだ-く、くだ-ける	サイ	suì
宰	宰	宰		サイ	zǎi
栽	栽	栽		サイ	zāi
彩	彩	彩	いろど-る	サイ	cǎi
採	採	采	と-る	サイ	cǎi
濟	済	济	す-む、す-ます	サイ	jì
祭	祭	祭	まつ-る、まつ-り	サイ	jì
齋	斎	斋		サイ	zhāi
細	細	细	ほそ-い、ほそ-る、こま-か、こま-かい	サイ	xì
菜	菜	菜	な	サイ	cài
最	最	最	もっと-も	サイ	zuì
裁	裁	裁	た-つ、さば-く	サイ	cái
債	債	债		サイ	zhài
催	催	催	もよお-す	サイ	cuī
塞	塞	塞	ふさ-ぐ、ふさ-がる	サイ、ソク	sāi
載	載	载	の-せる、の-る	サイ	zài
際	際	际	きわ	サイ	jì
埼	埼	埼	（さい）		qí
在	在	在	あ-る	ザイ	zài
材	材	材		ザイ	cái
劑	剤	剂		ザイ	jì
財	財	财		ザイ、（サイ）	cái
罪	罪	罪	つみ	ザイ	zuì
崎	崎	崎	さき		qí
作	作	作	つく-る	サク、サ	zuò
削	削	削	けず-る	サク	xuē
昨	昨	昨		サク	zuó
